id,nome,dosagem,apresentacao,position,estoque
17292,ACETAZOLAMIDA 250 MG 1 CP,250 mg,1 cp,645.0 345.0,20.0
17293,ACICLOVIR 200 MG 1 CP,200 mg,1 cp,dummie,10.0
17296,ACIDO ACETILSALICILICO 100 MG 3 CP,100 mg,3 cp,dummie,10.0
17297,ACIDO ASCORBICO 500 MG 1 CP,500 mg,1 cp,dummie,10.0
17298,ACIDO FOLICO 5 MG 1 CP,5 mg,1 cp,dummie,10.0
21393,ALBENDAZOL 400 MG 1 CP,400 mg,1 cp,dummie,10.0
17301,ALOPURINOL 100 MG 1 CP,100 mg,1 cp,dummie,10.0
17302,AMIODARONA 200 MG 1 CP,200 mg,1 cp,dummie,10.0
17303,AMOXICILINA 500 MG 1 CP,500 mg,1 cp,dummie,10.0
17304,AMPICILINA 500 MG 1 CP,500 mg,1 cp,dummie,10.0
17306,ANLODIPINO 10 MG 1 CP,10 mg,1 cp,dummie,10.0
17307,ANLODIPINO 5 MG 1 CP,5 mg,1 cp,dummie,10.0
17308,ATENOLOL 25 MG 1 CP,25 mg,1 cp,dummie,10.0
17309,ATENOLOL 50 MG 1 CP,50 mg,1 cp,dummie,10.0
17310,ATENOLOL 50 MG 2 CP,50 mg,2 cp,dummie,10.0
20336,ATORVASTATINA 20 MG 1 CP,20 mg,1 cp,dummie,10.0
20479,ATORVASTATINA 20 MG 2 CP,20 mg,2 cp,dummie,10.0
18762,AZITROMICINA 500 MG 1 CP,500 mg,1 cp,dummie,10.0
19675,AZITROMICINA 500 MG 3 CP,500 mg,3 cp,dummie,10.0
17311,BACLOFENO 10 MG 1 CP,10 mg,1 cp,dummie,10.0
17312,BISACODIL 5 MG 1 CP,5 mg,1 cp,dummie,10.0
26482,BUDESONIDA 200 MCG 1 CAPS INALATORIA,200 mcg,1 caps inalatoria,dummie,10.0
27147,BUDESONIDA 200 MCG 2 CAPS INALATORIA,200 mcg,2 caps inalatoria,dummie,10.0
17315,"CABERGOLINA 0,5 MG 2 CP","0,5 mg",2 cp,dummie,10.0
17317,"CAPTOPRIL 12,5 MG 0,5 CP","12,5 mg",5 cp,dummie,10.0
17316,"CAPTOPRIL 12,5 MG 1 CP","12,5 mg",1 cp,dummie,10.0
29111,"CAPTOPRIL 25MG 0,5 CP",25mg,5 cp,dummie,10.0
29112,CAPTOPRIL 25 MG 1/4 CP,25 mg,4 cp,dummie,10.0
17318,CAPTOPRIL 25 MG 1 CP,25 mg,1 cp,dummie,10.0
17319,CAPTOPRIL 25 MG 2 CP,25 mg,2 cp,dummie,10.0
17469,CARBONATO DE CALCIO CAPSULA 500 MG 1 CP,500 mg,1 cp,dummie,10.0
17321,"CARVEDILOL 12,5 MG 1 CP","12,5 mg",1 cp,dummie,10.0
17322,"CARVEDILOL 3,125 MG 1 CP","3,125 mg",1 cp,dummie,9.0
17323,"CARVEDILOL 3,125 MG 2 CP","3,125 mg",2 cp,dummie,9.0
17324,CEFALEXINA 500 MG 1 CP,500 mg,1 cp,dummie,10.0
17325,CETOROLACO 10 MG 1 CP,10 mg,1 cp,dummie,10.0
19759,CIPROFIBRATO 100 MG 1 CP,100 mg,1 cp,dummie,10.0
17326,CIPROFLOXACINO 250 MG 1 CP,250 mg,1 cp,dummie,10.0
17327,CIPROFLOXACINO 250 MG 2 CP,250 mg,2 cp,dummie,10.0
26023,CIPROFLOXACINO 500 MG 1 CP,500 mg,1 cp,dummie,10.0
17329,"CLARITROMICINA 500 MG 0,5 CP",500 mg,5 cp,dummie,10.0
17328,CLARITROMICINA 500 MG 1 CP,500 mg,1 cp,dummie,10.0
17330,CLINDAMICINA 300 MG 1 CP,300 mg,1 cp,dummie,10.0
17331,CLINDAMICINA 300 MG 2 CP,300 mg,2 cp,dummie,10.0
26886,"CLONIDINA 0,10 MG 1CP","0,10 mg",1cp,dummie,10.0
17335,CLOPIDOGREL 75 MG 1 CP,75 mg,1 cp,dummie,10.0
17337,CLORETO DE POTASSIO 600 MG 1 CP,600 mg,1 cp,dummie,10.0
17338,CLORPROPAMIDA 250 MG 1 CP,250 mg,1 cp,dummie,10.0
17339,CLORTALIDONA 25 MG 1 CP,25 mg,1 cp,dummie,10.0
17342,"COLCHICINA 0,5 MG 1 CP","0,5 mg",1 cp,dummie,10.0
17343,COMPLEXO B 1 CP,1 cp,1 cp,dummie,10.0
17344,DESLORATADINA 5 MG 1 CP,5 mg,1 cp,dummie,9.0
28634,"DEXAMETASONA 4MG 0,5 CP",4mg,5 cp,dummie,9.0
